样本	Learn	段名	原始脉冲	二进制	十六进制	位说明/字段说明
cool	Learn3Code	帧1-80-87	65FE 2DFE 50FE 40FE 51FE 41FE 51FE 41FE 50FE 40FE 50FE 42FE 50FE 42FE 50FE 3AFE	00000000	00	未知 field not present in all samples
cool	Learn3Code	帧1-88-95	4FFE 41FE 4FFE 42FE 4FFE 43FE 4FFE 42FE 4FFE 42FE 4FFE 43FE 4FFE 42FE 4EFE 3BFE	00000000	00	未知 field not present in all samples
cool	Learn3Code	帧1-96-103	4FFE 43FE 4FFE 43FE 4EFE 43FE 4FFE 42FE 4FFE 43FE 4FFE 43FE 4EFE 43FE 4FFE 3BFE	00000000	00	未知 field not present in all samples
cool	Learn3Code	帧1-104-111	4FFE 43FE 4EFE 43FE 4EFE 43FE 4EFE C7FA 4FFE C7FA 4EFE C8FA 4EFE 43FE 4EFE F6FD	00011101	B8	未知 field not present in all samples
cool	Learn3Code	帧1-112-119	4EFE C7FA 4EFE 43FE 4FFE C7FA 4EFE C8FA 4EFE 43FE 4EFE C8FA 4EFE C7FA 4EFE C0FA	10110111	ED	未知 field not present in all samples
cool	Learn3Code	帧1-120-127	4FFE 43FE 4EFE 43FE 4EFE 43FE 4EFE 43FE 4FFE 42FE 4EFE 42FE 4EFE 42FE 4FFE 3BFE	00000000	00	未知 field not present in all samples
cool	Learn3Code	帧1-128-135	4FFE C7FA 4FFE C6FA 4FFE 42FE 50FE 42FE 4FFE 42FE 4FFE 42FE 50FE 42FE 50FE 3AFE	11000000	03	未知 field not present in all samples
cool	Learn3Code	帧1-136-143	4FFE 42FE 4FFE 42FE 50FE 41FE 50FE 41FE 50FE 41FE 65FE 2DFE 64FE 2DFE 65FE 24FE	00000000	00	未知 field not present in all samples
cool	Learn3Code	帧1-144-151	66FE 2DFE 64FE 2DFE 66FE 2BFE 65FE 18FE 79FE 18FE 79FE 18FE 79FE 2CFE 66FE 11FE	00000000	00	未知 field not present in all samples
cool	Learn3Code	帧1-152-159	78FE 18FE 79FE 18FE 79FE 18FE 79FE 18FE 7AFE 18FE 7AFE 17FE 7AFE 18FE 7AFE 10FE	00000000	00	未知 field not present in all samples
cool	Learn3Code	帧1-160-167	79FE 17FE 7AFE 18FE 7AFE 17FE 7AFE 17FE 7AFE 17FE 7BFE 17FE 7BFE 16FE 7AFE 0FFE	00000000	00	未知 field not present in all samples
cool	Learn3Code	帧1-168-175	7BFE 16FE 7BFE 9AFA 7CFE 9AFA 7BFE 99FA 90FE 02FE 90FE 85FA 91FE 85FA 91FE 66FA	01110111	EE	未知 field not present in all samples
cool	Learn3Code	帧1-标记	3CF6			special marker or separator
cool	Learn3Code	帧1-标记	3AF2			special marker or separator
cool	Learn3Code	帧1-标记	A5FE			special marker or separator
cool	Learn4Code	帧1-头	11F65CF6			chunk header bytes
cool	Learn4Code	帧1-0-7	4FFE C8FA 4EFE 44FE 4FFE C8FA 4EFE 43FE 50FE 41FE 4FFE C7FA 50FE C7FA 4FFE 3BFE	10100110	65	未知 field not present in all samples
cool	Learn4Code	帧1-8-15	64FE B2FA 65FE B2FA 4FFE 42FE 65FE 2EFE 64FE 2DFE 4FFE C6FA 65FE B0FA 67FE 25FE	11000110	63	未知 field not present in all samples
cool	Learn4Code	帧1-16-23	65FE 2DFE 64FE 2CFE 66FE 2DFE 64FE 18FE 7AFE 18FE 7AFE 18FE 7AFE 2CFE 7BFE 0EFE	00000000	00	未知 field not present in all samples
cool	Learn4Code	帧1-24-31	66FE 17FE 7BFE 17FE 7AFE 17FE 7BFE 18FE 7AFE 17FE 7BFE 17FE 7BFE 17FE 7AFE 10FE	00000000	00	未知 field not present in all samples
cool	Learn4Code	帧1-32-39	7AFE 16FE 7AFE 9BFA 7BFE 17FE 7BFE 17FE 7BFE 16FE 7BFE 17FE 7AFE 17FE 7BFE 10FE	01000000	02	未知 field not present in all samples
cool	Learn4Code	帧1-40-47	7BFE 2AFE 67FE 9BFA 7CFE 9AFA 7BFE 18FE 7AFE 16FE 90FE 03FE 7AFE 17FE 7AFE 0FFE	01100000	06	未知 field not present in all samples
